iter	RMSE
0	82.21435993
1	80.38215031
2	78.52671609
3	76.63321136
4	74.97895163
5	73.21151098
6	71.78627592
7	70.48179512
8	69.0780046
9	67.83843366
10	66.59647001
11	65.45593412
12	64.19950927
13	63.10017847
14	62.05460158
15	61.21314908
16	60.21416638
17	59.30294779
18	58.46326861
19	57.55207439
20	56.77460667
21	56.05731794
22	55.35447905
23	54.61458501
24	53.928814
25	53.22566944
26	52.64779222
27	52.1158571
28	51.63041579
29	51.12492525
30	50.54325123
31	50.01182479
32	49.57201636
33	49.06082151
34	48.67002873
35	48.30700557
36	47.96179056
37	47.62005339
38	47.24455155
39	46.83732795
40	46.42307111
41	46.08031545
42	45.77937508
43	45.51557284
44	45.19241383
45	44.88077678
46	44.65889612
47	44.42921343
48	44.22759714
49	43.95484177
50	43.62905231
51	43.42054622
52	43.16656789
53	42.9839325
54	42.7719281
55	42.58806268
56	42.35196146
57	42.16775595
58	42.00447128
59	41.8264331
60	41.7280033
61	41.58482475
62	41.38790814
63	41.26181494
64	41.11689144
65	40.97962755
66	40.82923332
67	40.63560573
68	40.4946216
69	40.3710308
70	40.27846261
71	40.19422567
72	40.10965374
73	39.98708078
74	39.84712775
75	39.75874672
76	39.6150268
77	39.4835433
78	39.37188082
79	39.24824385
80	39.15273141
81	39.04649935
82	38.99049689
83	38.94769452
84	38.83094409
85	38.77078548
86	38.70099806
87	38.60252603
88	38.51100073
89	38.45557679
90	38.37004894
91	38.27636063
92	38.21332591
93	38.10244863
94	38.04976752
95	37.99803878
96	37.9090236
97	37.84925521
98	37.72191678
99	37.67108722
100	37.5887648
101	37.49413364
102	37.42423823
103	37.37253178
104	37.32115924
105	37.27203525
106	37.22463138
107	37.17519027
108	37.13327248
109	37.04648576
110	37.0065909
111	36.9572607
112	36.90638566
113	36.84963145
114	36.82168644
115	36.79317903
116	36.74816339
117	36.67379735
118	36.63407234
119	36.62067978
120	36.51329991
121	36.49074093
122	36.42567553
123	36.31942901
124	36.26191111
125	36.22373883
126	36.19127051
127	36.13385791
128	36.10684532
129	36.06617924
130	36.02718834
131	35.97369596
132	35.94718748
133	35.91206446
134	35.82739867
135	35.78043256
136	35.69453686
137	35.64973706
138	35.62427586
139	35.55680249
140	35.49151832
141	35.42210303
142	35.37961366
143	35.32379672
144	35.29193086
145	35.20510125
146	35.12438014
147	35.08602269
148	35.06119127
149	34.97305057
150	34.89857139
151	34.84845911
152	34.75885172
153	34.720102
154	34.69264992
155	34.60024283
156	34.57552088
157	34.52500571
158	34.48221027
159	34.47349919
160	34.40142678
161	34.3208493
162	34.23515305
163	34.21033997
164	34.14845845
165	34.12543524
166	34.06557838
167	34.04453231
168	34.01257732
169	33.941698
170	33.90846406
171	33.87104837
172	33.80415224
173	33.78218686
174	33.75442533
175	33.67874588
176	33.66172324
177	33.63993871
178	33.61365369
179	33.57024523
180	33.54968599
181	33.53072342
182	33.48640502
183	33.41035366
184	33.35664764
185	33.25452962
186	33.22671247
187	33.21502566
188	33.12112636
189	33.08336684
190	33.05431767
191	32.95362849
192	32.92759883
193	32.87611136
194	32.86349755
195	32.83853747
196	32.76517014
197	32.69742349
198	32.68578393
199	32.65796329
200	32.61504905
201	32.59275774
202	32.50039399
203	32.46449701
204	32.43214164
205	32.4137746
206	32.35595323
207	32.33642216
208	32.28877419
209	32.25480529
210	32.24956328
211	32.22882775
212	32.19662561
213	32.14188404
214	32.08749708
215	32.01413314
216	31.97523927
217	31.93815955
218	31.9113801
219	31.89941649
220	31.83412258
221	31.77211106
222	31.69704616
223	31.6890479
224	31.68056732
225	31.65046397
226	31.59201097
227	31.51976045
228	31.4428712
229	31.43892145
230	31.40674435
231	31.32745336
232	31.28048867
233	31.21880669
234	31.16001231
235	31.0834234
236	31.04352486
237	30.99553323
238	30.97495496
239	30.9134832
240	30.87112743
241	30.82553671
242	30.77037603
243	30.70970559
244	30.6871856
245	30.65908405
246	30.60547505
247	30.59961166
248	30.57819634
249	30.55901782
250	30.53417125
251	30.46372316
252	30.44412495
253	30.43044999
254	30.35300375
255	30.2700745
256	30.26701506
257	30.18842463
258	30.13124405
259	30.1136761
260	30.09713141
261	30.04003905
262	30.00140138
263	29.94846951
264	29.94159314
265	29.89538646
266	29.8549814
267	29.85166088
268	29.834778
269	29.78453006
270	29.73706199
271	29.69525631
272	29.63570532
273	29.58368459
274	29.52838519
275	29.47840988
276	29.47511074
277	29.4247413
278	29.36870904
279	29.36554183
280	29.35926338
281	29.34285552
282	29.29982271
283	29.24651128
284	29.18086986
285	29.14934084
286	29.08212302
287	29.05740249
288	29.02152631
289	28.97119392
290	28.89898468
291	28.86910909
292	28.82029449
293	28.80020999
294	28.78541931
295	28.75032395
296	28.70595957
297	28.66826414
298	28.60794999
299	28.56132313
300	28.53205669
301	28.48821168
302	28.45725925
303	28.45405405
304	28.45094666
305	28.39211152
306	28.35600672
307	28.34928199
308	28.30886392
309	28.27115291
310	28.2425442
311	28.18324884
312	28.12752698
313	28.09266106
314	28.05646657
315	27.99429073
316	27.94859176
317	27.87514653
318	27.8388126
319	27.78878591
320	27.72447137
321	27.71685109
322	27.65885287
323	27.5883353
324	27.56471713
325	27.51968172
326	27.47504989
327	27.439953
328	27.4057096
329	27.36360815
330	27.30709116
331	27.23704805
332	27.21142046
333	27.15365054
334	27.12312828
335	27.06872176
336	27.03834187
337	27.03236634
338	27.01539387
339	26.96095459
340	26.92383165
341	26.91010053
342	26.87326016
343	26.87107783
344	26.83636733
345	26.79623122
346	26.76522559
347	26.73942443
348	26.73686778
349	26.69115605
350	26.66136456
351	26.63954486
352	26.59172477
353	26.56029106
354	26.53460899
355	26.49818261
356	26.43950454
357	26.41937623
358	26.3970495
